ID,EmployeeID_ID,Period,ObjectiveCompletionRate
1,1,2024-Q1,95.5
2,2,2024-Q1,88.2
3,3,2024-Q1,76.8
4,4,2024-Q1,92.1
5,5,2024-Q1,89.7
6,6,2024-Q1,83.4
7,7,2024-Q1,91.2
8,8,2024-Q1,78.9
9,9,2024-Q1,94.6
10,10,2024-Q1,72.3
11,11,2024-Q1,87.8
12,12,2024-Q1,85.1
13,13,2024-Q1,96.3
14,14,2024-Q1,84.7
15,15,2024-Q1,79.5
16,16,2024-Q1,86.9
17,17,2024-Q1,93.2
18,18,2024-Q1,81.6
19,19,2024-Q1,88.4
20,20,2024-Q1,87.3
21,1,2023-Q4,92.1
22,2,2023-Q4,85.7
23,3,2023-Q4,74.2
24,4,2023-Q4,89.8
25,5,2023-Q4,91.3
26,6,2023-Q4,80.9
27,7,2023-Q4,88.7
28,8,2023-Q4,76.4
29,9,2023-Q4,93.1
30,10,2023-Q4,69.8
